Source:	C:\Users\Johan\Documents\Arduino\Projecten\ECG Simulator\KiCad ECG Patient simulator\ECG Patient simulator.sch
Date:	14/11/2020 13:43:31
Tool:	Eeschema (5.1.0)-1
Component Count:	41
Ref	Value	Part	Footprint	Description	Vendor
C1	10uF	Device:CP	Capacitor_THT:CP_Radial_D6.3mm_P2.50mm	Polarized capacitor	
C2	2,2uF	Device:CP	Capacitor_THT:CP_Radial_D6.3mm_P2.50mm	Polarized capacitor	
C3	100nF	Device:C	Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm	Unpolarized capacitor	
C4	100nF	Device:C	Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm	Unpolarized capacitor	
C5	22pF	Device:C	Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm	Unpolarized capacitor	
C6	22pF	Device:C	Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm	Unpolarized capacitor	
C7	200nF	Device:C	Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm	Unpolarized capacitor	
C8	47nF	Device:C	Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm	Unpolarized capacitor	
C9	1uF	Device:CP_Small	Capacitor_THT:CP_Radial_D6.3mm_P2.50mm	Polarized capacitor, small symbol	
D1	1N4148	Diode:1N4148	Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal	100V 0.15A standard switching diode, DO-35	
D2	1N4148	Diode:1N4148	Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal	100V 0.15A standard switching diode, DO-35	
D3	1N4148	Device:D	Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal	Diode	
D4	1N4148	Diode:1N4148	Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal	100V 0.15A standard switching diode, DO-35	
D5	1N4001	Diode:1N4001	Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal	50V 1A General Purpose Rectifier Diode, DO-41	
D6	LED	Device:LED	LED_THT:LED_D5.0mm	Light emitting diode	
